FeedbackID,ExhibitionID,AttendeeID,Comments,Rating
1,1,1,ut LkfCfqV,3
2,2,2,df@qIU2H3&,4
3,3,3,BBekm@BFdS,1
4,4,4,rWZGbDRc$!,3
5,5,5,L8nxS0d9Z ,4
6,6,6,cno^y7Rzm6,2
7,7,7,DNmcRu0zFf,4
8,8,8,Nt3t$b daE,4
9,9,9,Hir#wrMuK3,1
10,10,10,@EPEiHe&Vx,5
11,11,11,baGzbr^76h,5
12,12,12,cszEfTFOID,1
13,13,13,ogv9aaaKH2,4
14,14,14,*G7I5p85No,3
15,15,15,L!DLQXLrs#,5
16,16,16,XvW47f7%gW,2
17,17,17,sY4 wEA3z2,2
18,18,18,3jPhhP0 3T,1
19,19,19,hq tBcPsG@,2
20,20,20,4SaENBBjrx,4
21,21,21,Ig@49!ETjc,2
22,22,22,5v u$3 &5G,2
23,23,23,N&u9E0lJJ&,5
24,24,24,7#MMdHbRcW,1
25,25,25,pFJGpqN@CB,4
26,26,26,OTfK3ewACL,3
27,27,27,V5zXxOBQ%d,5
28,28,28,7J*ARMktf7,1
29,29,29,WnDQ7AFkCr,3
30,30,30,YAj7Mg6TMa,5
31,31,31,^dzNhpNem9,1
32,32,32,wLsI6KMA M,4
33,33,33,z$3hRfmn$W,2
34,34,34,C&0zi^YhvU,5
35,35,35,Fj*caY1t#B,5
36,36,36,DQBK14C@Hi,4
37,37,37,*8@vkoUf4f,3
38,38,38,7nVp#6NgGx,1
39,39,39,uj75sJ769%,2
40,40,40,DhSAbd4DFo,2
41,41,41,jA^I87aNpl,4
42,42,42,RyqssRbiV$,4
43,43,43,AFHoAtmfH&,3
44,44,44,QSS0eH*y$q,2
45,45,45,2koyr*qZQR,3
46,46,46,CbnthJ2xPm,4
47,47,47,nqDUFFtDNi,3
48,48,48,I%OnrnuKbw,1
49,49,49,dz788$zEZM,3
50,50,50,$kpeSVSiU%,2
51,51,51,mG@wzMxD*z,3
52,52,52,AuSnm8zy$V,2
53,53,53,36$6j4gpc$,2
54,54,54,*0YIh3u1Ww,3
55,55,55,WSJgAV fH6,1
56,56,56,5eIUe*dDPl,4
57,57,57,teC3r@Rxni,3
58,58,58,yW2xRO%d9J,1
59,59,59,7RxbD%q1co,5
60,60,60,mSsrIUkMs9,4
61,61,61,gH!lYAbfap,3
62,62,62,u#TJ35t@B ,2
63,63,63,IxV8UGhJ!$,5
64,64,64,7bCfA 0run,3
65,65,65,TOw$kf@t@E,3
66,66,66,bXWk3qG%rW,2
67,67,67,FNxrBmrsg*,2
68,68,68,P Lu&JUPPn,5
69,69,69,dZWYAUA0Wl,2
70,70,70,6ndeZR2sL*,2
71,71,71,K!5ZmVEV7v,5
72,72,72,NLrvIA5YKx,5
73,73,73,$1bd5tk2yz,1
74,74,74,y2Km6iRGME,5
75,75,75,I%dD2w09L&,5
76,76,76,!5VBa&lXlU,3
77,77,77,PdbV3pQTIC,2
78,78,78,Jmm13FLW%0,1
79,79,79,oRorL M8T3,4
80,80,80,Oo%nQQ75@m,4
81,81,81,sye5uGwBPH,5
82,82,82,ZWu%^lZ^Q$,4
83,83,83,YWNP^UnDGH,5
84,84,84,nyfJnCAN8I,5
85,85,85,#lKz8^gpp1,5
86,86,86,C$z$#LPeEt,3
87,87,87,Ish&j&Chtk,1
88,88,88,3MMG9QOqMu,5
89,89,89,EG9@4 CN^3,2
90,90,90,V1Ax^fZ$WQ,4
91,91,91,*t1P#^9*$6,3
92,92,92,oUfGJ5hxFM,2
93,93,93,Y#T&abp&7Q,4
94,94,94,fAtJii gRc,5
95,95,95,sFRpm5Ypq$,4
96,96,96,9$T!ASPQ1d,3
97,97,97,f&I19fZt^H,4
98,98,98,u1jh*lFSzi,2
99,99,99,xAMA Zpg4@,4
100,100,100,ACu5dSo*L^,2
101,101,101,AvLPBEXAAi,4
102,102,102,aEl&$J65a0,3
103,103,103,2SNnrEAVB4,3
104,104,104,0#osC3HFi ,4
105,105,105,cgY79L2@1a,4
106,106,106,6kwqbVx%Sl,5
107,107,107,mfD2lBz6Vn,1
108,108,108,Xy#CChVbGU,1
109,109,109,R27PD0H4GR,3
110,110,110,Al1Q73E&n1,2
111,111,111,O9ZOB1sTbw,4
112,112,112,cnIUW#Cn#U,5
113,113,113,SsdWqypABc,4
114,114,114,$i%dKwylqq,1
115,115,115,2Rv&!eGXDV,1
116,116,116,Onl*^x XDM,4
117,117,117,SVvIt9G#VC,1
118,118,118,NicqdFJ%dY,3
119,119,119,ezu8hGSW@z,1
120,120,120,e3WUtt#g!K,4
121,121,121,fv9k7u*@6^,2
122,122,122,D0L9sR&^b5,1
123,123,123,0qdZ&ErT&r,3
124,124,124,o&x#aOOWGL,3
125,125,125,2F!bbQ@GiU,3
126,126,126,VlZGi% @6l,2
127,127,127,@18eyGNkE6,1
128,128,128,zFJHY%T5^d,1
129,129,129,Fr65*m7T6#,5
130,130,130,HS%I^z^GtN,1
131,131,131,Eq9h@ttosQ,2
132,132,132,fZ0!xdsKop,2
133,133,133,GadT1LqTVc,5
