SaleID,ExhibitionID,Item,Qty,Price,Date
1,1,j5iO*%Oe! ,50,672.95,1950-06-12
2,2,c%^mKJVnDm,89,899.78,1978-11-28
3,3,s6i0ie8jQT,25,617.42,2015-02-07
4,4,0xx09^ vKd,43,287.22,2025-03-11
5,5,YCgUkk18Qf,65,986.66,2013-06-28
6,6,!MKfQ6LFBK,58,164.36,qdCnua
7,7,z&8N*E58EX,12,414.56,RFz7K6
8,8,6T!pqFAkgY,48,561.25,2021-03-11
9,9,#dZAoWQsvM,18,568.31,1952-06-16
10,10,3W*G7X&VmA,80,823.64,1989-08-08
11,11,r7mtE3KByk,23,912.95,1Ydy6Z
12,12,dSE%mFKbDs,34,403.63,1AnB2M
13,13,7 NPgf1md6,100,656.77,2010-10-13
14,14,X3g5il@*WY,68,913.21,1992-10-22
15,15,G6ri6B7fad,23,446.29,1954-10-14
16,16,Q&O0ixcKKL,28,376.14,1983-12-28
17,17,tiegKvWVde,96,631.49,1960-02-02
18,18,Hbw% op0Ex,21,918.86,BSMOO8
19,19,3RKiAb98Zx,31,361.38,1950-09-02
20,20,tp^Re !K5E,45,916.88,2015-05-22
21,21,tk01#zR7BX,67,688.92,2009-05-14
22,22,vpjrIR n!1,55,82.2,1989-08-16
23,23,RUq0gCfGfB,18,711.8,1980-02-23
24,24,VIGTuSDGn*,83,369.05,1982-09-21
25,25,Om0ShfAhkt,64,735.26,1986-10-27
26,26,P0u%AZv!2K,14,825.94,1990-09-09
27,27,3Omlz1QVP2,51,819.34,J8bXfg
28,28,WAS5yJUeza,21,877.53,1991-09-27
29,29,flA1icXun*,39,550.41,1986-09-04
30,30,sn 5eKV%DR,45,340.64,1985-02-04
31,31,8VfDsB@EOe,34,114.35,2013-08-19
32,32,bqwVG68exn,79,904.82,1980-12-20
33,33,1rZwdj$kDm,67,742.91,1966-08-06
34,34,28v UrRjL ,84,678.36,2011-08-16
35,35,O%J&9JESMG,68,538.97,2017-06-14
36,36,^ftfRW4M*G,64,83.94,1968-02-15
37,37,S@e0AeS&C2,27,160.47,2011-07-27
38,38,@HbNq7Q8vy,47,335.26,1990-08-10
39,39,xPU80HhlyH,31,390.15,ZO1uqA
40,40,Rujo17sqzo,76,493.23,1985-10-06
41,41,$wSVo8$TQV,59,61.78,2018-06-24
42,42,U!nHXoWcZY,84,978.27,1967-09-01
43,43,KTc*cPW1$t,74,900.53,2005-06-19
